,categoria,titulo
40879,SAP,RE: Crear PEP (105731)
40880,SAP,RE: (Sap) Asignar ppto CICTECNO 2025 (106435)
40883,SAP,RV: movimientos MM / URGENTE- CAMBIO DE GRUPO (107357)
40884,SAP,SAP DTE (107479)
40903,SAP,Problema con registro en SAP (106896)
40909,SAP,Solicita ayuda para revisar Comando SAP (107466)
41329,SAP,URGENTE: INCIDENTE integraciÃ³n de CX hacia el ERP. (107453)
41809,SAP > Portal,RV: Solicitud cambio grupo cuenta 77055864-6 Solarstore SpA (103669)
43113,SAP,Problema con Sharepoint: Error de TX ZFB03_ANEXOS (104022)
43128,SAP > Portal,RE: ReclasificaciÃ³n gastos personal (104987)
43129,SAP > Portal,Problemas para anexar documentos (104997)
43177,SAP,Registros contables sin respaldo (104023)
44705,SAP,RV: CAMBIO GRUPO DE CUENTA ZCLI A ZEPL ALVARO FLORES (100666)
44706,SAP,RV: Solicitud CreaciÃ³n Proveedor Carol TapÃ­a - RV: Propuesta Trabajo AutomatizaciÃ³n Reporte (100737)
44707,SAP,RE: PROBLEMAS PARA CREAR PEP EN SAP (100766)
44710,SAP,RV: Solicitud gestiÃ³n cambio grupo cuenta 8595620-0 Serv. EnergÃ©ticos CSEnergy Ltda. (101539)
44713,SAP,RV: Solicitud aprobaciÃ³n desbloqueo 5565000-4 Alfredo DelfÃ­n Morales NuÃ±ez (102912)
44829,SAP,CAMBIOCLAVE (103223)
44865,SAP,SAP - FB60 (102894)
45126,SAP,Cambio Estado SII - 92580000-7 (101137)
45128,SAP,RE: Nuevo Documento para visar FT NÂ° 1900004475 Soc CC (101248)
45139,SAP,RV: Nuevo Documento para visar FG NÂ° 1900005471 Soc.: (101114)
45220,SAP,Ayuda SAP (102697)
46547,SAP > Portal,Acceso Portal SAP (102005)
46551,SAP,Consulta mensaje en SAP (102071)
46825,SAP,Clave de acceso a QA (101570)
48098,SAP,RV: Requerimiento Auditoria - Libros Diarios - TI (99125)
48100,SAP,"RV: Favor creaciÃ³n de proveedor, Producto 425838 (99608)"
48169,SAP,RV: Solicitud cambio grupo cuenta 3643791-K CLAUDIO ALEJANDRO MATTE GARCES (99423)
48175,SAP > Portal,RV: Solicitud aprobaciÃ³n desbloqueo y cambio grupo cuenta 76131054-2 Energya SA (99834)
48190,SAP > Portal,Problemas en SAP TransacciÃ³n ML81N (100133)
48305,SAP,RE: Nota de Cobro NÂ° 3 con las Gastos a Reembolsar Proyecto Los Poetas desde Diciembre del 2024 a la fecha. (100313)
48438,SAP,Re: Cuentas VPN-SAP (99332)
48847,SAP,Clave SAP nuevo usuario (99887)
49322,SAP,SAP-DTE restaurante Estancia Totoral CA (94854)
49376,SAP,problemas visualizaciÃ³n ordenes de compra (97324)
49381,SAP,sap no me deja entrar con dos cuentas a FB1S (98324)
49383,SAP,problema para ingresar HH (98558)
49402,SAP,RV: Bloqueo ST (99027)
49705,SAP,SAP-DTE ESTADO 1 CS (Rut 96.806.980-2) (99043)
49723,SAP,[SAP] SAP app is unavailable - app Neptune (97032)
49934,SAP,RV: CAMBIO GRUPO DE CUENTA ZNAC A ZEPL JORGE CROZIER RIFFO (98516)
50153,SAP,Solicitud de cuentas contables / Falabella-Sodimac (98236)
50721,SAP > Portal,SAP-DTE ESTADO 1 CS (97676)
50727,SAP,RE: SOLICITA ACCESO SAP 100 y 210 (97730)
50990,SAP > Portal,(Sap-TI) Asignar ppto CICTECNO 2025 (96856)
51078,SAP > Portal,[SAP] Portal SAP abajo (97192)
51241,SAP,RE: SAP-DTE 92.580.000-7 (actualizar estado) (97435)
51252,SAP,RE: SOLICITA RECLAMACION FACTURAS ELECTRONICAS (96925)
51549,SAP,RV: CAMBIO GRUPO DE CUENTA ZNAC A ZEPL JORGE CROZIER RIFFO (95578)
51551,SAP,RV: URGENTE CAMBIO GRUPO A ZEPL RUT/16808236-3 (95794)
51557,SAP,"RE: Solicitud CreaciÃ³n Cliente, ViÃ±a San Pedro TarapacÃ¡ S.A. (96415)"
51680,SAP,Error ingreso viÃ¡tico (96631)
51833,SAP,RE: Generar OC Sellos (95949)
51889,SAP,RE: Consulta Portal SAP (96388)
51897,SAP,RV: Estrategias SAP MM PCORREA (96663)
52198,SAP,RE: [GLPI #0093541] BORRAR DOCUMENTO PRELIMINAR (95753)
52398,SAP,RE: 17753853-1 ESTEBAN GABRIEL MILLONES VILLEGAS (95880)
52399,SAP,Cambio de estado SAP RE: SOLICITA RECLAMACION FACTURAS ELECTRONICAS (95881)
52408,SAP,CARGO PEP / OI PAGO EDP CONTRATISTA (94206)
52838,SAP,Problemas ingreso SAP (95521)
